uruchamianie testow TS z dywersyfikacja, sasiedztwo: 0
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
61;89798;86793;20000.681000;0.034623
62;90062;87067;20001.288000;0.034399
63;101267;96563;20000.176000;0.048714
64;101629;100788;20001.207000;0.008344
65;57279;56510;20000.383000;0.013608
66;243931;243872;20000.304000;0.000242
67;401078;401023;20000.497000;0.000137
68;399345;399085;20000.616000;0.000651
69;309962;309232;20000.744000;0.002361
70;222773;222684;20001.211000;0.000400
71;640978;640816;20001.107000;0.000253
72;611367;611362;20000.675000;0.000008
73;623429;623429;20000.883000;0.000000
74;584847;584628;20000.682000;0.000375
75;575355;575274;20001.015000;0.000141
81;3555;1400;20000.254000;1.539286
82;1199;317;20001.010000;2.782334
83;2445;1146;20000.199000;1.133508
84;136;136;20001.118000;0.000000
85;610;284;20001.307000;1.147887
86;70221;66850;20001.036000;0.050426
87;84279;84229;20000.138000;0.000594
88;55993;55544;20001.452000;0.008084
89;57451;54612;20000.378000;0.051985
90;75081;75061;20000.209000;0.000266
91;249075;248699;20000.499000;0.001512
92;311088;311022;20001.457000;0.000212
93;326322;326258;20000.738000;0.000196
94;274006;273993;20001.130000;0.000047
95;317142;316870;20000.137000;0.000858
96;495525;495516;20000.616000;0.000018
97;636972;636903;20001.082000;0.000108
98;680126;680082;20000.082000;0.000065
99;622464;622464;20000.869000;0.000000
100;449545;449545;20000.827000;0.000000
107;2134;1193;20000.853000;0.788768
109;1008;232;20000.771000;3.344828
111;159830;159138;20000.462000;0.004348
112;174666;174377;20001.423000;0.001657
113;91353;91171;20001.033000;0.001996
114;168336;168297;20000.731000;0.000232
115;70428;70190;20000.108000;0.003391
116;370653;370631;20000.575000;0.000059
117;324567;324437;20000.997000;0.000401
118;246454;246243;20000.513000;0.000857
119;293737;293576;20000.611000;0.000548
120;267331;267326;20000.065000;0.000019
121;471214;471214;20001.042000;0.000000
122;570467;570459;20000.245000;0.000014
123;397123;397029;20000.932000;0.000237
124;431171;431115;20000.264000;0.000130
125;561860;560754;20000.067000;0.001972

uruchamianie testow TS z dywersyfikacja, sasiedztwo: 1
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;20000.271000;0.000000
2;6170;6170;20000.244000;0.000000
3;4286;4267;20002.824000;0.004453
4;5011;5011;20002.502000;0.000000
5;5283;5283;20001.237000;0.000000
6;58258;58258;20001.744000;0.000000
7;50972;50972;20002.084000;0.000000
8;59434;59434;20001.169000;0.000000
9;40978;40978;20001.886000;0.000000
10;53472;53208;20000.815000;0.004962
11;181649;181649;20002.746000;0.000000
12;234476;234179;20002.563000;0.001268
13;180556;178840;20002.311000;0.009595
14;157878;157476;20001.583000;0.002553
15;174089;172995;20002.420000;0.006324
16;511475;407703;20000.685000;0.254528
17;333415;332804;20000.065000;0.001836
18;545806;544838;20002.208000;0.001777
19;477742;477684;20001.958000;0.000121
20;455466;406094;20000.072000;0.121578
21;936963;898925;20001.654000;0.042315
22;661518;556873;20000.336000;0.187915
23;720363;539716;20002.070000;0.334708
24;929791;744287;20001.903000;0.249237
25;700433;585306;20000.683000;0.196695
26;8;8;20000.688000;0.000000
27;718;718;20001.806000;0.000000
28;27;27;20001.912000;0.000000
29;480;480;20000.985000;0.000000
30;50;50;20002.228000;0.000000
31;24243;24202;20002.493000;0.001694
32;25571;25469;20000.371000;0.004005
33;32964;32964;20000.280000;0.000000
34;22237;22215;20002.049000;0.000990
35;19114;19114;20002.934000;0.000000
36;108293;108293;20001.069000;0.000000
37;182061;181850;20001.888000;0.001160
38;90440;90440;20001.667000;0.000000
39;152401;151701;20000.744000;0.004614
40;129870;129728;20002.628000;0.001095
41;463343;462324;20000.176000;0.002204
42;426552;425875;20002.648000;0.001590
43;320589;320537;20002.895000;0.000162
44;361741;360193;20000.505000;0.004298
45;578199;306040;20001.419000;0.889292
46;830232;829828;20001.826000;0.000487
47;766249;623356;20001.660000;0.229232
48;859035;748988;20000.095000;0.146928
49;1048670;656693;20002.404000;0.596895
50;650794;599269;20001.462000;0.085980
56;9478;9046;20000.771000;0.047756
57;11539;11539;20001.549000;0.000000
58;16313;16313;20001.693000;0.000000
59;7965;7965;20000.818000;0.000000
60;19912;19912;20001.325000;0.000000
61;88565;86793;20000.847000;0.020416
62;87240;87067;20000.904000;0.001987
63;96563;96563;20002.919000;0.000000
64;100801;100788;20002.849000;0.000129
65;56804;56510;20002.434000;0.005203
66;244189;243872;20000.732000;0.001300
67;404170;401023;20002.891000;0.007847
68;522704;399085;20001.839000;0.309756
69;533422;309232;20001.206000;0.724990
70;222718;222684;20002.234000;0.000153
71;761519;640816;20001.623000;0.188358
72;771752;611362;20001.766000;0.262349
73;623572;623429;20000.680000;0.000229
74;689461;584628;20002.860000;0.179316
75;688315;575274;20000.135000;0.196499
81;1493;1400;20001.491000;0.066429
82;317;317;20001.423000;0.000000
83;1488;1146;20001.477000;0.298429
84;136;136;20000.688000;0.000000
85;284;284;20001.593000;0.000000
86;69203;66850;20000.575000;0.035198
87;84554;84229;20000.062000;0.003859
88;56311;55544;20001.657000;0.013809
89;55709;54612;20000.205000;0.020087
90;75693;75061;20001.909000;0.008420
91;376357;248699;20001.400000;0.513303
92;422646;311022;20000.443000;0.358894
93;327372;326258;20002.564000;0.003414
94;342379;273993;20000.115000;0.249590
95;318913;316870;20000.752000;0.006447
96;496116;495516;20002.384000;0.001211
97;739046;636903;20000.496000;0.160374
98;680262;680082;20000.251000;0.000265
99;631382;622464;20001.824000;0.014327
100;573722;449545;20002.596000;0.276228
107;1193;1193;20002.159000;0.000000
109;232;232;20001.902000;0.000000
111;159949;159138;20002.637000;0.005096
112;210839;174377;20001.980000;0.209099
113;92083;91171;20003.147000;0.010003
114;169925;168297;20002.352000;0.009673
115;70429;70190;20002.477000;0.003405
116;453516;370631;20001.105000;0.223632
117;421335;324437;20002.143000;0.298665
118;249342;246243;20001.578000;0.012585
119;296782;293576;20001.406000;0.010921
120;268155;267326;20001.074000;0.003101
121;472351;471214;20000.249000;0.002413
122;570910;570459;20000.698000;0.000791
123;538451;397029;20003.186000;0.356201
124;518223;431115;20001.061000;0.202053
125;562084;560754;20000.145000;0.002372

uruchamianie testow TS bez dywersyfikacji, sasiedztwo: 1
nr;najlepszy znaleziony;najlepszy znany;czas [ms];blad wzgledny
1;5988;5988;20001.740000;0.000000
2;6170;6170;20000.722000;0.000000
3;4336;4267;20000.725000;0.016171
4;5324;5011;20001.416000;0.062463
5;5807;5283;20002.662000;0.099186
6;58412;58258;20000.842000;0.002643
7;50972;50972;20001.797000;0.000000
8;59476;59434;20002.711000;0.000707
9;41065;40978;20002.158000;0.002123
10;54676;53208;20002.404000;0.027590
11;185229;181649;20000.476000;0.019708
12;235898;234179;20000.823000;0.007341
13;181318;178840;20000.170000;0.013856
14;158910;157476;20002.617000;0.009106
15;174065;172995;20002.868000;0.006185
16;602332;407703;20001.491000;0.477379
17;336912;332804;20001.308000;0.012344
18;545801;544838;20000.521000;0.001767
19;619202;477684;20000.665000;0.296259
20;408866;406094;20000.204000;0.006826
21;1015166;898925;20001.857000;0.129311
22;623731;556873;20000.791000;0.120060
23;599341;539716;20002.016000;0.110475
24;943525;744287;20000.989000;0.267690
25;817891;585306;20001.367000;0.397373
26;8;8;20001.194000;0.000000
27;718;718;20001.226000;0.000000
28;27;27;20000.304000;0.000000
29;482;480;20001.788000;0.004167
30;50;50;20000.322000;0.000000
31;26390;24202;20001.141000;0.090406
32;27796;25469;20002.263000;0.091366
33;32964;32964;20000.249000;0.000000
34;24275;22215;20001.836000;0.092730
35;19539;19114;20001.099000;0.022235
36;108293;108293;20000.899000;0.000000
37;183629;181850;20000.652000;0.009783
38;92016;90440;20001.210000;0.017426
39;158146;151701;20000.243000;0.042485
40;130358;129728;20001.982000;0.004856
41;468077;462324;20000.412000;0.012444
42;430802;425875;20001.148000;0.011569
43;321796;320537;20001.914000;0.003928
44;364192;360193;20000.533000;0.011102
45;335023;306040;20000.784000;0.094703
46;880935;829828;20000.339000;0.061587
47;867355;623356;20002.239000;0.391428
48;1083396;748988;20002.640000;0.446480
49;942954;656693;20001.970000;0.435913
50;779643;599269;20000.625000;0.300990
56;10479;9046;20003.185000;0.158413
57;11918;11539;20002.736000;0.032845
58;18153;16313;20001.449000;0.112793
59;8473;7965;20000.437000;0.063779
60;22420;19912;20001.905000;0.125954
61;88465;86793;20002.336000;0.019264
62;90027;87067;20003.034000;0.033997
63;103198;96563;20002.489000;0.068712
64;104792;100788;20000.428000;0.039727
65;64766;56510;20001.859000;0.146098
66;291819;243872;20000.414000;0.196607
67;452813;401023;20002.459000;0.129145
68;421393;399085;20002.719000;0.055898
69;551407;309232;20000.665000;0.783150
70;226089;222684;20001.106000;0.015291
71;716654;640816;20002.444000;0.118346
72;696840;611362;20002.216000;0.139816
73;667466;623429;20002.686000;0.070637
74;585090;584628;20000.975000;0.000790
75;701824;575274;20002.484000;0.219982
81;1507;1400;20001.602000;0.076429
82;317;317;20001.668000;0.000000
83;2318;1146;20001.853000;1.022688
84;136;136;20000.080000;0.000000
85;284;284;20000.992000;0.000000
86;71854;66850;20002.882000;0.074854
87;85474;84229;20001.895000;0.014781
88;57482;55544;20001.247000;0.034891
89;56286;54612;20000.137000;0.030653
90;76732;75061;20001.355000;0.022262
91;249836;248699;20001.550000;0.004572
92;316227;311022;20002.714000;0.016735
93;329513;326258;20001.370000;0.009977
94;464383;273993;20001.990000;0.694872
95;319846;316870;20002.953000;0.009392
96;497705;495516;20000.517000;0.004418
97;869926;636903;20000.923000;0.365869
98;719211;680082;20002.585000;0.057536
99;764042;622464;20001.049000;0.227448
100;603903;449545;20002.029000;0.343365
107;1198;1193;20002.582000;0.004191
109;232;232;20000.211000;0.000000
111;162588;159138;20002.959000;0.021679
112;176434;174377;20000.703000;0.011796
113;92275;91171;20000.655000;0.012109
114;172178;168297;20003.286000;0.023060
115;102073;70190;20001.149000;0.454238
116;371904;370631;20002.411000;0.003435
117;403746;324437;20002.316000;0.244451
118;249037;246243;20001.380000;0.011347
119;296352;293576;20001.163000;0.009456
120;269370;267326;20002.086000;0.007646
121;472711;471214;20002.790000;0.003177
122;571040;570459;20001.213000;0.001018
123;675734;397029;20001.758000;0.701976
124;739898;431115;20000.113000;0.716243
125;563576;560754;20002.344000;0.005033
