Przegl¹d zupe³ny
rozmiar;czas[ms]
4;0.00023000000000000
5;0.00200000000000000
6;0.01129000000000000
7;0.07898999999999999
8;0.63947000000000009
9;5.84637000000000029
10;63.19852999999999810
11;707.94667000000004009
12;9075.89035999999941851
programowanie Dynamicznie
4;0.00064000000000000
5;0.00163000000000000
6;0.00539000000000000
7;0.01166000000000000
8;0.02469000000000000
9;0.04927000000000000
10;0.14027000000000001
11;0.32318999999999998
12;0.62935000000000008
13;1.18628000000000000
14;2.33546999999999993
15;5.05422999999999956
16;10.59848000000000035
17;28.85828000000000060
18;80.49653999999999598
19;195.25306000000000495
20;456.96965999999997621
21;1035.99947999999994863
22;2346.81375000000025466
23;5322.89271999999982654
B&B 1
4;0.00123000000000000
5;0.00542000000000000
6;0.02531000000000000
7;0.15058000000000002
8;0.80977999999999994
9;5.23334000000000010
10;35.18730999999999653
11;264.14211000000000240
12;1872.50998000000004140
13;17281.14987000000110129
B&B 2
4;0.00113000000000000
5;0.00465000000000000
6;0.01923000000000000
7;0.07367000000000000
8;0.32395999999999997
9;1.93772999999999995
10;9.28988000000000014
11;47.67949000000000126
12;226.57621000000000322
13;2484.36295999999993001
14;14896.24278000000049360
